Postcode,S1,RBD
G1,0.5,0.5
G2,0.25,0.25
G3,0.3939393939393939,0.36363636363636365
G4,0.4444444444444444,0.2222222222222222
G5,0.39473684210526316,0.39473684210526316
G9,NaN,NaN
G11,0.2857142857142857,0.18571428571428572
G12,0.3709677419354839,0.24193548387096775
G13,0.31496062992125984,0.16535433070866143
G14,0.3770491803278688,0.2459016393442623
G15,0.3050847457627119,0.15254237288135594
G20,0.2564102564102564,0.20512820512820512
G21,0.14285714285714285,0.42857142857142855
G22,0.3333333333333333,0.19047619047619047
G23,0.3333333333333333,0.1111111111111111
G31,0.25,0.3333333333333333
G32,0.45454545454545453,0.2727272727272727
G33,0.26666666666666666,0.06666666666666667
G34,0.75,0.25
G40,0.6,0.4
G41,0.3826086956521739,0.25217391304347825
G42,0.40860215053763443,0.3870967741935484
G43,0.3968253968253968,0.30158730158730157
G44,0.34444444444444444,0.23333333333333334
G45,0.21153846153846154,0.19230769230769232
G46,0.29473684210526313,0.25263157894736843
G51,0.34408602150537637,0.22580645161290322
G52,0.3422818791946309,0.2214765100671141
G53,0.3221476510067114,0.2348993288590604
G58,NaN,NaN
G60,0.32,0.24
G61,0.2608695652173913,0.2608695652173913
G62,0.3404255319148936,0.1276595744680851
G63,0.3333333333333333,0.0
G64,0.42857142857142855,0.14285714285714285
G65,0.2,0.0
G66,0.16666666666666666,0.16666666666666666
G67,0.0,0.0
G68,0.0,0.0
G69,0.0,0.25
G70,NaN,NaN
G71,0.3333333333333333,0.0
G72,0.21875,0.25
G73,0.23684210526315788,0.11842105263157894
G74,0.16666666666666666,0.16666666666666666
G75,0.25,0.25
G77,0.24752475247524752,0.21782178217821782
G78,0.0,0.0
G79,NaN,NaN
G81,0.2601626016260163,0.21951219512195122
G82,0.14285714285714285,0.14285714285714285
G83,0.3333333333333333,0.25
G84,0.0,0.0
G90,NaN,NaN
