Postcode,S1,RBD
G1,0.3333333333333333,0.5
G2,0.3333333333333333,0.0
G3,0.4444444444444444,0.37777777777777777
G4,0.5,0.5
G5,0.42857142857142855,0.42857142857142855
G9,NaN,NaN
G11,0.45,0.325
G12,0.4266666666666667,0.37333333333333335
G13,0.375,0.29605263157894735
G14,0.3617021276595745,0.23404255319148937
G15,0.4084507042253521,0.323943661971831
G20,0.47058823529411764,0.3235294117647059
G21,0.35,0.35
G22,0.3333333333333333,0.2857142857142857
G23,0.0,0.0
G31,0.3,0.4
G32,0.1875,0.1875
G33,0.4666666666666667,0.3333333333333333
G34,0.0,0.0
G40,0.3333333333333333,0.0
G41,0.46534653465346537,0.3465346534653465
G42,0.4954128440366973,0.4036697247706422
G43,0.373134328358209,0.3582089552238806
G44,0.47619047619047616,0.4126984126984127
G45,0.42028985507246375,0.3333333333333333
G46,0.4765625,0.375
G51,0.4188034188034188,0.37606837606837606
G52,0.4513888888888889,0.3819444444444444
G53,0.5300546448087432,0.40437158469945356
G58,NaN,NaN
G60,0.3888888888888889,0.2222222222222222
G61,0.4270833333333333,0.3125
G62,0.515625,0.359375
G63,0.6,0.4
G64,0.2727272727272727,0.09090909090909091
G65,0.5,0.5
G66,0.4666666666666667,0.5333333333333333
G67,0.3333333333333333,0.3333333333333333
G68,NaN,NaN
G69,0.5,0.375
G70,NaN,NaN
G71,0.0,0.0
G72,0.375,0.3125
G73,0.46153846153846156,0.46153846153846156
G74,0.375,0.25
G75,0.42857142857142855,0.5714285714285714
G77,0.45161290322580644,0.3655913978494624
G78,0.4375,0.3125
G79,NaN,NaN
G81,0.42196531791907516,0.3352601156069364
G82,0.5454545454545454,0.36363636363636365
G83,0.4,0.3
G84,0.7142857142857143,0.5714285714285714
G90,NaN,NaN
