Postcode,S1,RBD
G1,0.0,0.0
G2,0.0,0.0
G3,0.36363636363636365,0.5454545454545454
G4,0.5,0.5
G5,0.4117647058823529,0.4117647058823529
G9,NaN,NaN
G11,0.2777777777777778,0.2222222222222222
G12,0.25,0.1388888888888889
G13,0.30612244897959184,0.1836734693877551
G14,0.3181818181818182,0.22727272727272727
G15,0.21739130434782608,0.17391304347826086
G20,0.26666666666666666,0.3333333333333333
G21,0.0,0.25
G22,0.3333333333333333,0.3333333333333333
G23,NaN,NaN
G31,0.5,0.5
G32,0.36363636363636365,0.45454545454545453
G33,0.375,0.125
G34,0.3333333333333333,1.0
G40,1.0,1.0
G41,0.3488372093023256,0.37209302325581395
G42,0.42592592592592593,0.2962962962962963
G43,0.25,0.125
G44,0.3548387096774194,0.25806451612903225
G45,0.18181818181818182,0.22727272727272727
G46,0.17391304347826086,0.21739130434782608
G51,0.4318181818181818,0.3409090909090909
G52,0.3584905660377358,0.2830188679245283
G53,0.14634146341463414,0.24390243902439024
G58,NaN,NaN
G60,0.4166666666666667,0.4166666666666667
G61,0.2682926829268293,0.34146341463414637
G62,0.23684210526315788,0.23684210526315788
G63,0.0,0.5
G64,0.0,0.0
G65,0.5,0.5
G66,0.25,0.25
G67,1.0,0.0
G68,0.0,0.0
G69,0.0,0.2
G70,NaN,NaN
G71,0.3333333333333333,0.3333333333333333
G72,0.2857142857142857,0.14285714285714285
G73,0.3333333333333333,0.16666666666666666
G74,0.6666666666666666,1.0
G75,0.0,0.0
G77,0.3225806451612903,0.22580645161290322
G78,0.0,0.0
G79,NaN,NaN
G81,0.2073170731707317,0.21951219512195122
G82,0.25,0.25
G83,0.0,0.0
G84,0.25,0.5
G90,NaN,NaN
