Postcode,S1,RBD
G1,0.0,0.5
G2,NaN,NaN
G3,0.2857142857142857,0.21428571428571427
G4,0.0,1.0
G5,0.3333333333333333,0.3333333333333333
G9,NaN,NaN
G11,0.375,0.25
G12,0.2222222222222222,0.3333333333333333
G13,0.2777777777777778,0.2962962962962963
G14,0.08333333333333333,0.20833333333333334
G15,0.25,0.32142857142857145
G20,0.2857142857142857,0.5
G21,0.5,0.5
G22,0.0,0.0
G23,0.3333333333333333,0.0
G31,0.0,0.0
G32,0.25,0.25
G33,0.6666666666666666,0.3333333333333333
G34,0.0,0.0
G40,0.0,0.0
G41,0.46153846153846156,0.46153846153846156
G42,0.2682926829268293,0.3902439024390244
G43,0.25,0.25
G44,0.32727272727272727,0.2727272727272727
G45,0.2,0.3
G46,0.11627906976744186,0.11627906976744186
G51,0.41025641025641024,0.38461538461538464
G52,0.26666666666666666,0.24444444444444444
G53,0.41935483870967744,0.27419354838709675
G58,NaN,NaN
G60,0.25,0.125
G61,0.26666666666666666,0.3
G62,0.2,0.25
G63,NaN,NaN
G64,NaN,NaN
G65,NaN,NaN
G66,0.0,0.25
G67,NaN,NaN
G68,1.0,0.0
G69,0.4,0.4
G70,NaN,NaN
G71,1.0,0.5
G72,0.0,0.2
G73,0.25,0.25
G74,0.5714285714285714,0.7142857142857143
G75,0.5,0.0
G77,0.23076923076923078,0.23076923076923078
G78,0.3333333333333333,0.3333333333333333
G79,NaN,NaN
G81,0.2839506172839506,0.2962962962962963
G82,0.0,0.0
G83,0.0,0.3333333333333333
G84,0.0,0.0
G90,NaN,NaN
