Postcode,S1,RBD
G1,0.0,0.25
G2,0.0,0.0
G3,0.32142857142857145,0.32142857142857145
G4,0.5,0.25
G5,0.19230769230769232,0.15384615384615385
G9,NaN,NaN
G11,0.15254237288135594,0.1864406779661017
G12,0.2682926829268293,0.24390243902439024
G13,0.2616822429906542,0.29906542056074764
G14,0.15384615384615385,0.25
G15,0.1590909090909091,0.25
G20,0.12,0.28
G21,0.0,0.4
G22,0.3,0.6
G23,0.2,0.3
G31,0.42857142857142855,0.14285714285714285
G32,0.2,0.4
G33,0.14285714285714285,0.14285714285714285
G34,0.3333333333333333,0.3333333333333333
G40,0.6666666666666666,0.6666666666666666
G41,0.17777777777777778,0.25555555555555554
G42,0.275,0.325
G43,0.18840579710144928,0.2318840579710145
G44,0.21428571428571427,0.2619047619047619
G45,0.20930232558139536,0.4418604651162791
G46,0.18666666666666668,0.14666666666666667
G51,0.25,0.25
G52,0.1566265060240964,0.21686746987951808
G53,0.19626168224299065,0.21495327102803738
G58,NaN,NaN
G60,0.0,0.1
G61,0.275,0.3375
G62,0.19444444444444445,0.25
G63,0.0,0.0
G64,0.0,0.1
G65,0.0,0.25
G66,0.2857142857142857,0.14285714285714285
G67,0.3333333333333333,0.3333333333333333
G68,NaN,NaN
G69,0.6666666666666666,0.6666666666666666
G70,NaN,NaN
G71,0.0,0.0
G72,0.3157894736842105,0.3157894736842105
G73,0.14285714285714285,0.14285714285714285
G74,0.5,0.25
G75,0.16666666666666666,0.16666666666666666
G77,0.28,0.29333333333333333
G78,0.0,0.0
G79,NaN,NaN
G81,0.17117117117117117,0.23423423423423423
G82,0.0,0.2
G83,0.2,0.2
G84,0.0,0.3333333333333333
G90,NaN,NaN
