Postcode,S1,RBD
G1,0.0,0.0
G2,NaN,NaN
G3,0.2857142857142857,0.07142857142857142
G4,0.0,0.0
G5,0.5833333333333334,0.16666666666666666
G9,NaN,NaN
G11,0.25,0.1
G12,0.39285714285714285,0.25
G13,0.29310344827586204,0.1896551724137931
G14,0.21052631578947367,0.10526315789473684
G15,0.36,0.36
G20,0.3157894736842105,0.2631578947368421
G21,0.4,0.2
G22,0.6666666666666666,0.3333333333333333
G23,0.0,0.0
G31,0.3333333333333333,0.0
G32,0.5714285714285714,0.5714285714285714
G33,0.5,0.16666666666666666
G34,0.0,0.0
G40,0.6666666666666666,0.6666666666666666
G41,0.4186046511627907,0.2558139534883721
G42,0.35294117647058826,0.29411764705882354
G43,0.18181818181818182,0.12121212121212122
G44,0.3333333333333333,0.28205128205128205
G45,0.1875,0.1875
G46,0.3125,0.28125
G51,0.45161290322580644,0.1935483870967742
G52,0.2631578947368421,0.18421052631578946
G53,0.2926829268292683,0.1951219512195122
G58,NaN,NaN
G60,0.2727272727272727,0.09090909090909091
G61,0.375,0.15
G62,0.5714285714285714,0.5238095238095238
G63,0.0,0.0
G64,0.2857142857142857,0.14285714285714285
G65,0.0,0.0
G66,0.5,0.0
G67,NaN,NaN
G68,NaN,NaN
G69,0.0,0.0
G70,NaN,NaN
G71,NaN,NaN
G72,0.35714285714285715,0.21428571428571427
G73,0.16666666666666666,0.13333333333333333
G74,0.5,0.0
G75,1.0,0.0
G77,0.4,0.23333333333333334
G78,0.5555555555555556,0.1111111111111111
G79,NaN,NaN
G81,0.2909090909090909,0.12727272727272726
G82,0.0,0.0
G83,0.0,0.0
G84,0.5,0.5
G90,NaN,NaN
