Postcode,S1,RBD
G1,0.75,0.75
G2,NaN,NaN
G3,0.2777777777777778,0.05555555555555555
G4,0.42857142857142855,0.0
G5,0.4,0.4666666666666667
G9,NaN,NaN
G11,0.3404255319148936,0.3191489361702128
G12,0.2653061224489796,0.24489795918367346
G13,0.3103448275862069,0.21839080459770116
G14,0.40540540540540543,0.35135135135135137
G15,0.3404255319148936,0.3617021276595745
G20,0.25,0.35
G21,0.5833333333333334,0.4166666666666667
G22,0.16666666666666666,0.3333333333333333
G23,0.0,1.0
G31,0.0,0.0
G32,0.08333333333333333,0.4166666666666667
G33,0.23076923076923078,0.3076923076923077
G34,0.3333333333333333,0.0
G40,0.2857142857142857,0.2857142857142857
G41,0.23275862068965517,0.25862068965517243
G42,0.3968253968253968,0.2857142857142857
G43,0.25806451612903225,0.24193548387096775
G44,0.3026315789473684,0.3815789473684211
G45,0.38461538461538464,0.4230769230769231
G46,0.24561403508771928,0.3333333333333333
G51,0.34285714285714286,0.2571428571428571
G52,0.2840909090909091,0.2727272727272727
G53,0.26804123711340205,0.27835051546391754
G58,NaN,NaN
G60,0.21428571428571427,0.07142857142857142
G61,0.30303030303030304,0.24242424242424243
G62,0.30303030303030304,0.18181818181818182
G63,0.0,0.0
G64,0.16666666666666666,0.16666666666666666
G65,0.0,0.0
G66,0.2,0.1
G67,0.0,0.0
G68,0.0,0.0
G69,0.16666666666666666,0.3333333333333333
G70,NaN,NaN
G71,NaN,NaN
G72,0.26666666666666666,0.5333333333333333
G73,0.39285714285714285,0.35714285714285715
G74,0.16666666666666666,0.5
G75,0.4,0.4
G77,0.21212121212121213,0.19696969696969696
G78,0.25,0.3333333333333333
G79,NaN,NaN
G81,0.2018348623853211,0.22935779816513763
G82,0.6666666666666666,1.0
G83,0.0,0.0
G84,0.0,0.5
G90,NaN,NaN
