Postcode,_2020_03_16,_2020_03_23,_2020_03_30,_2020_04_06,_2020_04_13,_2020_04_20,_2020_04_27,_2020_05_04,_2020_05_11,_2020_05_18,_2020_05_25,_2020_06_01,_2020_06_08,_2020_06_15,_2020_06_22,_2020_06_29,_2020_07_06,_2020_07_13,_2020_07_20,_2020_07_27,_2020_08_03,_2020_08_10,_2020_08_17,_2020_08_24,_2020_08_31,_2020_09_07,_2020_09_14,_2020_09_21,_2020_09_28,_2020_10_05,_2020_10_12,_2020_10_19,_2020_10_26,_2020_10_02,_2020_11_09,_2020_11_16,_2020_11_23,_2020_11_30,_2020_12_07,_2020_12_14,_2020_12_21,_2020_12_28,_2021_01_04,_2021_01_11,_2021_01_18
G1,0,0,0,0,0,3,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,10,11,12,12,12,12,12,12,12,12,12,13,13
G2,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
G3,0,0,1,3,4,12,17,19,24,25,28,30,30,32,35,36,40,41,45,45,45,48,49,49,49,49,49,49,50,50,50,50,50,51,55,55,56,59,65,65,65,65,65,66,68
G4,0,0,0,1,1,2,4,5,6,6,6,7,8,8,9,10,10,10,10,10,10,12,13,13,14,15,15,15,15,15,15,15,15,15,16,16,17,19,20,20,20,20,20,21,21
G5,0,0,1,3,6,15,17,19,21,25,29,32,34,35,37,37,41,41,41,41,41,43,43,45,47,48,48,48,50,50,50,51,52,64,64,64,66,69,77,77,77,77,77,78,83
G11,0,0,0,10,15,26,28,29,31,34,38,41,45,46,50,53,59,59,60,62,62,66,70,72,73,79,79,80,81,81,81,81,93,96,102,102,103,105,111,111,111,111,112,112,115
G12,0,0,3,13,21,29,35,38,41,44,45,50,54,57,60,63,65,66,68,68,68,74,75,76,79,82,82,82,85,85,85,88,93,97,107,107,110,114,119,119,119,119,119,122,125
G13,0,1,6,21,27,41,54,58,62,67,75,77,85,91,100,107,112,118,127,127,127,143,148,153,155,160,163,165,168,170,170,177,184,189,196,196,201,212,221,221,221,221,221,225,237
G14,0,0,2,5,11,20,24,25,28,31,35,39,43,45,48,51,57,57,59,60,60,66,68,69,72,77,78,78,78,78,78,81,87,91,95,95,99,102,108,108,108,108,108,111,113
G15,0,0,5,12,17,29,32,32,32,36,37,41,45,45,48,55,60,61,65,65,65,69,70,72,74,75,75,75,79,80,80,84,90,97,99,99,101,105,109,109,109,109,109,115,118
G20,0,0,5,5,5,11,14,16,17,20,23,24,25,26,26,29,29,30,32,34,34,39,40,44,47,51,51,51,52,52,52,54,56,59,62,62,62,64,69,69,69,69,69,72,76
G21,0,0,1,3,4,8,8,8,8,9,11,11,11,12,12,14,14,15,15,15,15,16,16,18,20,21,21,21,21,21,21,21,22,26,27,27,27,27,28,28,28,28,28,28,29
G22,0,0,0,3,3,6,7,7,8,10,11,11,12,13,13,13,14,16,20,20,20,22,22,23,23,25,26,27,29,29,29,29,29,31,31,31,31,31,33,33,33,33,33,33,33
G23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,5,6,7,8,8,8,8,8,8,8,8,9,9,11,11,12,12,12,12,12,12,12,12,12
G31,0,0,0,0,0,2,4,5,6,7,7,8,8,8,10,10,10,10,11,11,11,11,12,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17
G32,0,1,2,5,5,7,7,7,9,9,9,10,11,13,14,14,14,15,15,15,15,16,18,20,20,21,22,23,23,23,23,23,24,28,30,30,30,30,35,35,35,35,35,35,36
G33,0,0,0,1,2,5,6,6,6,7,7,7,8,8,10,11,11,11,12,12,12,13,13,15,17,19,19,19,20,20,20,20,22,24,26,26,26,26,27,27,27,27,27,27,28
G34,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6
G40,0,0,0,2,2,2,2,2,4,4,5,6,6,6,6,7,8,9,9,9,9,9,10,11,12,13,13,13,13,13,13,14,14,15,17,17,18,18,20,20,20,20,20,20,20
G41,0,0,6,16,23,35,44,51,53,60,65,75,81,87,94,98,104,104,111,114,114,126,134,137,142,143,144,145,148,149,149,158,168,179,182,182,188,196,212,212,212,212,212,221,230
G42,0,1,6,16,27,44,53,60,77,84,86,90,94,97,103,109,118,120,128,129,129,137,143,148,154,155,157,159,163,163,163,166,170,181,181,181,186,197,213,213,213,213,214,220,229
G43,0,0,2,9,14,25,27,29,36,41,42,47,49,53,58,62,68,69,74,74,74,82,83,83,85,87,89,91,97,97,97,101,103,112,114,114,118,121,124,124,124,124,124,128,131
G44,0,1,9,17,27,48,59,64,73,77,80,84,87,90,99,102,107,108,114,117,117,129,130,132,139,147,150,150,158,160,160,167,181,189,192,192,196,203,211,211,211,211,211,216,226
G45,0,0,0,6,9,19,26,26,29,32,34,36,38,40,46,49,53,58,62,63,63,72,74,77,80,81,82,82,87,89,89,98,105,111,112,112,115,119,124,124,124,124,124,126,130
G46,0,0,4,14,27,47,57,60,65,70,77,81,84,88,95,101,104,107,109,112,112,118,119,121,126,132,135,138,141,143,143,148,153,162,166,166,169,172,182,182,182,182,182,184,187
G51,0,1,3,13,17,36,50,54,58,63,65,71,75,79,86,88,89,92,100,102,102,112,116,118,118,122,128,128,131,136,136,140,150,154,161,161,162,165,180,180,180,180,180,185,195
G52,0,0,3,23,30,49,62,66,73,78,87,95,106,113,125,128,132,136,140,140,140,150,154,155,157,163,165,165,171,172,172,178,191,196,199,199,203,210,225,225,225,225,226,230,236
G53,0,0,7,27,39,69,80,87,97,102,109,117,126,130,141,150,157,161,164,165,165,176,185,192,199,207,210,210,214,215,215,227,235,242,247,247,248,262,272,272,272,272,273,282,289
G60,0,0,0,2,3,4,5,5,8,8,10,11,11,13,14,16,18,18,18,18,18,19,19,22,22,22,23,24,25,25,25,25,25,26,27,27,28,30,35,35,35,35,35,35,36
G61,0,0,2,15,20,29,35,39,46,50,55,60,63,65,66,74,80,84,92,95,95,106,109,112,114,119,120,122,125,126,126,129,134,142,145,145,150,160,174,174,174,174,174,180,183
G62,0,0,7,13,21,30,32,35,36,38,39,40,42,42,42,45,48,49,51,51,51,54,56,58,61,65,67,67,68,70,70,71,73,76,77,77,80,83,92,92,92,92,92,92,97
G63,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5
G64,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,6,8,10,11,11,11,11,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14
G65,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,6,6,6,6,7,7,7,7,7,7,7
