Postcode,_2020_03_16,_2020_03_23,_2020_03_30,_2020_04_06,_2020_04_13,_2020_04_20,_2020_04_27,_2020_05_04,_2020_05_11,_2020_05_18,_2020_05_25,_2020_06_01,_2020_06_08,_2020_06_15,_2020_06_22,_2020_06_29,_2020_07_06,_2020_07_13,_2020_07_20,_2020_07_27,_2020_08_03,_2020_08_10,_2020_08_17,_2020_08_24,_2020_08_31,_2020_09_07,_2020_09_14,_2020_09_21,_2020_09_28,_2020_10_05,_2020_10_12,_2020_10_19,_2020_10_26,_2020_10_02,_2020_11_09,_2020_11_16,_2020_11_23,_2020_11_30,_2020_12_07,_2020_12_14,_2020_12_21,_2020_12_28,_2021_01_04,_2021_01_11,_2021_01_18
G1,0,0,0,0,0,2,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,9,10,10,10,10,10,10,10,0,10
G2,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,0,6
G3,0,1,4,7,9,19,23,25,29,31,35,37,38,39,43,44,48,49,51,51,51,56,59,59,61,63,63,63,65,66,66,67,69,71,75,75,79,83,87,87,87,87,87,0,91
G4,0,0,0,0,1,2,4,5,6,6,6,9,9,10,10,10,10,10,10,10,10,12,13,13,14,15,15,15,15,15,15,15,16,18,20,20,21,23,24,24,24,24,24,0,24
G5,0,0,2,9,13,21,22,24,26,30,34,37,38,39,41,42,45,46,46,46,46,48,48,48,49,50,51,51,52,52,52,53,57,64,64,64,66,67,75,75,75,75,75,0,81
G11,0,1,2,13,22,37,39,44,46,52,56,61,64,65,70,73,79,79,79,80,80,84,91,93,96,102,104,105,106,106,106,109,120,122,130,130,133,136,143,143,143,143,144,0,149
G12,0,0,7,20,29,36,43,47,49,55,58,66,70,72,74,78,81,83,86,86,86,92,94,96,98,102,103,104,108,108,108,110,117,121,128,128,132,135,144,144,144,144,144,0,148
G13,0,1,10,30,39,55,71,79,86,96,107,114,117,125,135,144,148,153,160,160,160,175,180,185,190,197,199,199,204,206,206,216,225,233,243,243,250,261,276,276,276,276,276,0,291
G14,0,0,3,10,16,30,37,40,43,46,52,61,66,70,75,77,80,80,81,81,81,88,91,92,96,101,101,101,101,102,102,106,111,117,122,122,128,130,137,137,137,137,137,0,139
G15,0,0,5,17,23,35,38,39,42,49,52,56,62,62,65,69,72,73,77,77,77,79,80,82,85,90,91,91,94,94,94,99,104,110,113,113,116,118,123,123,123,123,124,0,130
G20,0,0,5,9,10,15,19,22,24,28,31,32,34,34,35,38,38,38,39,40,40,44,45,48,50,55,55,56,57,57,57,59,61,62,63,63,66,68,72,72,72,72,72,0,76
G21,0,0,2,3,4,9,9,9,9,9,10,10,11,11,11,12,13,13,13,13,13,13,14,15,16,17,19,19,19,19,19,19,22,26,27,27,28,29,29,29,29,29,29,0,30
G22,0,0,0,3,5,9,9,10,11,13,15,16,17,18,20,22,22,24,25,25,25,26,26,27,27,29,30,31,32,32,32,32,32,33,34,34,34,34,36,36,36,36,36,0,36
G23,0,0,0,0,0,0,0,0,0,2,3,3,3,3,6,6,6,6,6,6,6,8,9,10,11,11,11,11,11,11,11,11,11,11,13,13,14,14,14,14,14,14,14,0,15
G31,0,1,2,2,3,4,5,6,7,7,7,8,8,8,10,11,12,12,14,14,14,14,14,15,15,16,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,0,19
G32,0,1,3,5,5,7,7,7,10,11,11,12,12,12,13,15,15,16,16,16,16,16,18,23,23,23,23,24,24,24,24,24,25,25,27,27,27,28,32,32,32,32,32,0,33
G33,0,0,2,4,6,9,10,10,11,13,13,14,15,16,17,18,18,18,19,19,19,19,19,20,22,23,23,23,24,24,24,24,26,27,29,29,29,29,32,32,32,32,32,0,34
G34,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,0,8
G40,0,0,0,2,3,3,3,4,7,8,8,9,9,9,9,10,11,12,12,12,12,12,13,14,15,16,16,16,16,16,16,17,17,18,20,20,20,20,22,22,22,22,22,0,22
G41,0,1,11,28,39,54,62,68,74,89,97,109,113,118,123,130,135,136,142,145,145,154,160,162,167,174,178,179,184,185,185,193,205,212,214,214,230,240,254,254,254,254,255,0,273
G42,0,1,8,20,37,54,65,72,88,95,100,104,110,114,119,127,137,139,145,146,146,155,161,166,174,178,179,182,185,186,186,189,195,211,213,213,222,230,253,253,253,253,254,0,264
G43,0,0,5,12,17,29,31,33,41,49,52,56,57,58,61,64,68,70,74,74,74,79,81,83,86,88,89,89,95,95,95,100,104,111,114,114,117,121,126,126,126,126,127,0,134
G44,0,1,10,20,32,59,69,74,86,94,97,104,106,107,116,119,124,124,126,130,130,140,143,147,152,158,159,159,164,169,169,176,188,192,195,195,199,205,216,216,216,216,216,0,234
G45,0,0,0,8,16,25,32,32,37,38,40,43,46,48,56,59,62,63,66,66,66,71,74,76,78,79,82,82,86,87,87,96,103,107,111,111,116,118,122,122,122,122,122,0,126
G46,0,1,6,22,38,56,70,75,81,88,94,99,108,110,114,119,122,123,125,129,129,141,144,146,152,158,162,163,164,166,166,170,174,180,184,184,192,195,203,203,203,203,203,0,208
G51,0,2,7,22,28,49,63,70,74,82,86,95,100,103,109,113,115,120,127,129,129,136,139,143,144,147,152,153,155,159,159,166,178,183,188,188,190,192,211,211,211,211,211,0,227
G52,0,0,6,32,41,61,75,79,90,99,111,126,135,139,151,158,161,162,165,165,165,177,181,184,186,192,196,196,202,204,204,208,223,229,235,235,242,250,269,269,269,269,270,0,281
G53,0,1,11,37,53,93,107,114,127,139,148,157,169,174,188,197,201,203,212,212,212,223,232,239,243,251,253,253,255,256,256,267,277,282,288,288,289,303,309,309,309,309,310,0,335
G60,0,0,1,4,5,7,10,11,13,13,17,18,18,19,20,21,21,21,21,21,21,22,22,25,25,25,25,26,27,27,27,28,29,30,31,31,32,34,39,39,39,39,39,0,41
G61,0,0,7,31,39,48,55,58,63,68,75,80,83,85,90,97,102,105,112,114,114,125,132,134,136,144,147,148,150,150,150,155,162,170,176,176,180,191,202,202,202,202,202,0,210
G62,0,0,8,14,25,36,42,48,52,56,59,61,62,62,63,67,68,70,72,72,72,75,78,80,83,87,89,89,90,91,91,92,96,101,102,102,105,109,118,118,118,118,118,0,122
G63,0,0,0,0,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5
G64,0,0,0,2,2,4,5,6,7,7,8,8,8,8,9,9,9,9,9,9,9,10,11,13,14,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,0,20
G65,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,7,7,7,7,7,0,7
G66,0,0,1,2,3,8,8,8,8,8,9,9,9,9,9,10,10,10,11,11,11,12,12,14,15,19,19,19,19,19,19,19,20,21,23,23,23,24,25,25,25,25,25,0,25
G67,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,0,4
G68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
G71,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,5
G72,0,0,3,6,7,13,17,18,20,21,22,24,24,24,25,29,30,30,33,33,33,36,38,38,38,38,39,39,40,41,41,41,42,45,47,47,49,51,53,53,53,53,53,0,53
G73,0,1,3,18,29,45,53,57,58,62,66,71,75,80,82,89,91,92,93,93,93,100,106,107,109,110,112,113,117,117,117,120,127,139,141,141,144,147,155,155,155,155,155,0,161
G74,0,0,1,1,1,2,4,4,5,5,5,5,5,5,5,5,7,7,8,8,8,9,9,9,9,9,9,9,9,11,11,11,11,12,12,12,12,13,15,15,15,15,16,0,19
G75,0,0,0,3,4,4,4,4,5,5,5,5,5,5,6,6,6,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,0,12
G76,0,1,10,18,25,30,40,43,49,49,54,55,60,62,68,77,80,85,92,92,92,99,99,102,103,105,107,107,108,110,110,112,119,124,129,129,135,144,150,150,150,150,152,0,163
G77,0,0,9,24,32,47,50,57,62,69,75,79,83,87,89,96,104,107,114,116,116,124,127,130,134,144,146,147,156,157,157,161,166,171,179,179,185,193,203,203,203,203,204,0,212
G78,0,1,4,6,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,16,16,16,16,16,16,16,16,16,16,0,18
G81,0,2,11,31,41,78,88,93,100,108,112,121,125,129,140,150,159,163,166,166,166,183,186,192,194,205,206,207,218,219,219,226,231,241,247,247,258,262,279,279,279,279,279,0,302
G82,0,0,0,1,4,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,11,11,12,13,13,13,14,15,15,15,15,15,0,15
G83,0,0,0,2,2,2,3,4,4,7,7,8,8,9,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12
G84,0,0,1,1,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,0,9
