Postcode,S1,RBD
G1,0.0,1.0
G2,NaN,NaN
G3,0.2631578947368421,0.05263157894736842
G4,0.14285714285714285,0.14285714285714285
G5,0.2727272727272727,0.2727272727272727
G9,NaN,NaN
G11,0.3225806451612903,0.25806451612903225
G12,0.29411764705882354,0.17647058823529413
G13,0.2711864406779661,0.2542372881355932
G14,0.2222222222222222,0.18518518518518517
G15,0.3333333333333333,0.2222222222222222
G20,0.25,0.17857142857142858
G21,0.2727272727272727,0.09090909090909091
G22,0.29411764705882354,0.35294117647058826
G23,0.0,0.0
G31,0.2222222222222222,0.2222222222222222
G32,0.07692307692307693,0.23076923076923078
G33,0.16666666666666666,0.25
G34,0.0,0.0
G40,0.125,0.125
G41,0.2647058823529412,0.10294117647058823
G42,0.34285714285714286,0.2571428571428571
G43,0.23684210526315788,0.3157894736842105
G44,0.29310344827586204,0.3620689655172414
G45,0.2571428571428571,0.2571428571428571
G46,0.3111111111111111,0.37777777777777777
G51,0.2631578947368421,0.3157894736842105
G52,0.2647058823529412,0.22058823529411764
G53,0.22807017543859648,0.2807017543859649
G58,NaN,NaN
G60,0.2,0.3
G61,0.30434782608695654,0.2608695652173913
G62,0.21621621621621623,0.24324324324324326
G63,1.0,1.0
G64,0.3333333333333333,0.16666666666666666
G65,0.0,0.14285714285714285
G66,0.23529411764705882,0.11764705882352941
G67,0.0,0.0
G68,NaN,NaN
G69,0.38461538461538464,0.15384615384615385
G70,NaN,NaN
G71,NaN,NaN
G72,0.23076923076923078,0.15384615384615385
G73,0.23529411764705882,0.2647058823529412
G74,0.25,0.375
G75,0.5,0.5
G77,0.38333333333333336,0.2833333333333333
G78,0.0,0.0
G79,NaN,NaN
G81,0.3125,0.2625
G82,0.0,0.0
G83,0.0,0.0
G84,0.3333333333333333,0.3333333333333333
G90,NaN,NaN
