Date,S1,S1_prop,RBD,RBD_prop
2020-03-16,0,0.0,0,0.0
2020-03-23,21,0.0012639942217407005,11,0.0006620922113879861
2020-03-30,180,0.010834236186348862,106,0.006380161309738774
2020-04-06,533,0.032081377151799685,363,0.021849042975803538
2020-04-13,769,0.04628626459612375,539,0.03244251835801132
2020-04-20,1194,0.07186710003611411,910,0.054773082942097026
2020-04-27,1412,0.0849885638618033,1107,0.06663055254604551
2020-05-04,1519,0.09142891537257734,1182,0.07114481762369086
2020-05-11,1683,0.10130010834236186,1309,0.07878897315517033
2020-05-18,1857,0.1117732033224991,1426,0.0858312266762971
2020-05-25,1989,0.11971830985915492,1521,0.09154929577464789
2020-06-01,2136,0.12856626941133983,1622,0.09762850607921031
2020-06-08,2239,0.13476586011797279,1718,0.10340676537859636
2020-06-15,2307,0.13885879378837127,1807,0.10876369327073553
2020-06-22,2457,0.14788732394366197,1943,0.11694956061153244
2020-06-29,2596,0.1562537618875647,2071,0.12465390634404719
2020-07-06,2701,0.1625737329962682,2189,0.13175635006620923
2020-07-13,2751,0.1655832430480318,2251,0.13548814253039604
2020-07-20,2856,0.1719032141567353,2384,0.14349343926808716
2020-07-27,2877,0.173167208378476,2410,0.14505838449500422
2020-08-03,2995,0.18026965210063803,2552,0.15360539304201276
2020-08-10,3078,0.18526543878656554,2618,0.15757794631034067
2020-08-17,3170,0.19080293728181053,2691,0.1619718309859155
2020-08-24,3252,0.19573853376670278,2771,0.1667870470687372
2020-08-31,3346,0.2013964126640183,2863,0.1723245455639822
2020-09-07,3481,0.20952208980377995,2968,0.1786445166726857
2020-09-14,3536,0.21283255086071987,3018,0.18165402672444925
2020-09-21,3552,0.2137955940772842,3041,0.1830384013482605
2020-09-28,3636,0.218851570964247,3133,0.18857589984350548
2020-10-05,3670,0.22089803779944625,3165,0.19050198627663417
2020-10-12,3670,0.22089803779944625,3165,0.19050198627663417
2020-10-19,3787,0.227940291320573,3274,0.19706271818947876
2020-10-26,3975,0.23925604911520404,3439,0.20699410136029855
2020-11-02,4140,0.24918743228602383,3625,0.21818947875285905
2020-11-09,4272,0.25713253882267967,3740,0.22511135187191525
2020-11-16,4272,0.25713253882267967,3740,0.22511135187191525
2020-11-23,4413,0.2656193571686529,3825,0.23022751895991334
2020-11-30,4563,0.2746478873239437,3978,0.23943661971830985
2020-12-07,4829,0.2906584807993259,4222,0.2541230287709161
