Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
G21 1UZ,No,55.89692,-4.231874,260540,669340,NS605693,"Bishopbriggs South","",1973-08-01,1991-07-01,76,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008101,"Bishopbriggs West and Cadder - 08"
G21 1XA,No,55.896752,-4.231225,260580,669320,NS605693,"Bishopbriggs South","",1973-08-01,1991-07-01,76,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008101,"Bishopbriggs West and Cadder - 08"
G33 1RZ,Yes,55.898967,-4.194497,262884,669493,NS628694,"Bishopbriggs South","",1999-12-01,,79,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008107,"Auchinairn - 06"
G33 1SZ,Yes,55.898959,-4.197714,262683,669498,NS626694,"Bishopbriggs South","",2000-12-01,,87,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008107,"Auchinairn - 06"
G61 1AA,No,55.909287,-4.325549,254730,670909,NS547709,"Bearsden South","",1980-01-01,2019-04-01,50,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008072,"Westerton East - 02"
G61 1AB,Yes,55.908377,-4.327255,254620,670811,NS546708,"Bearsden South","",1980-01-01,,57,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1AD,Yes,55.906947,-4.326193,254681,670650,NS546706,"Bearsden South","",1980-01-01,,49,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1AE,Yes,55.905837,-4.325502,254720,670525,NS547705,"Bearsden South","",1980-01-01,,45,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1AF,Yes,55.90429,-4.324594,254771,670351,NS547703,"Bearsden South","",1980-01-01,,45,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AG,Yes,55.903052,-4.323544,254832,670211,NS548702,"Bearsden South","",1980-01-01,,50,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1AH,Yes,55.900992,-4.322701,254877,669980,NS548699,"Bearsden South","",1980-01-01,,55,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AJ,Yes,55.901889,-4.32421,254786,670083,NS547700,"Bearsden South","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AL,Yes,55.902544,-4.324745,254755,670157,NS547701,"Bearsden South","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1AN,Yes,55.902808,-4.326473,254648,670190,NS546701,"Bearsden South","",1980-01-01,,59,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1AP,Yes,55.903159,-4.32547,254712,670227,NS547702,"Bearsden South","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AQ,Yes,55.902057,-4.322908,254868,670099,NS548700,"Bearsden South","",1980-01-01,,51,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1AR,Yes,55.90326,-4.32442,254778,670236,NS547702,"Bearsden South","",1980-01-01,,50,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1AS,Yes,55.904114,-4.325815,254694,670334,NS546703,"Bearsden South","",1980-01-01,,47,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AT,Yes,55.904977,-4.325803,254698,670430,NS546704,"Bearsden South","",1980-01-01,,44,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AU,Yes,55.905143,-4.327525,254591,670452,NS545704,"Bearsden South","",1980-01-01,,49,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AW,Yes,55.904078,-4.327253,254604,670333,NS546703,"Bearsden South","",1980-01-01,,52,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AX,Yes,55.905396,-4.329332,254479,670484,NS544704,"Bearsden South","",1980-01-01,,55,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008074,"Westerton East - 04"
G61 1AY,Yes,55.906807,-4.329816,254454,670642,NS544706,"Bearsden South","",1980-01-01,,67,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1AZ,Yes,55.908375,-4.32911,254504,670815,NS545708,"Bearsden South","",1980-01-01,,66,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BA,Yes,55.907443,-4.328958,254510,670711,NS545707,"Bearsden South","",1980-01-01,,60,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BB,Yes,55.907494,-4.327217,254619,670713,NS546707,"Bearsden South","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BD,Yes,55.906013,-4.321865,254948,670537,NS549705,"Bearsden South","",1980-01-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1BE,No,55.910409,-4.328016,254580,671039,NS545710,"Bearsden South","",2008-01-01,2016-08-01,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008072,"Westerton East - 02"
G61 1BF,Yes,55.910403,-4.328001,254581,671038,NS545710,"Bearsden South","",2008-01-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008072,"Westerton East - 02"
G61 1BH,No,55.906579,-4.326667,254650,670610,NS546706,"Bearsden South","",1992-07-01,1995-02-01,47,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008073,"Westerton East - 03"
G61 1BL,No,55.907465,-4.32736,254610,670710,NS546707,"Bearsden South","",1990-12-01,1992-07-01,54,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008073,"Westerton East - 03"
G61 1BN,Yes,55.906617,-4.326557,254657,670614,NS546706,"Bearsden South","",1980-01-01,,47,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BP,Yes,55.906398,-4.329104,254497,670595,NS544705,"Bearsden South","",1980-01-01,,60,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BS,Yes,55.90688,-4.327869,254576,670646,NS545706,"Bearsden South","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BT,Yes,55.905792,-4.327403,254601,670524,NS546705,"Bearsden South","",1980-01-01,,48,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BU,Yes,55.90689,-4.324638,254778,670640,NS547706,"Bearsden South","",1980-01-01,,46,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1BW,Yes,55.90651,-4.327478,254599,670604,NS545706,"Bearsden South","",1980-01-01,,49,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008073,"Westerton East - 03"
G61 1BX,Yes,55.906545,-4.318953,255132,670590,NS551705,"Bearsden South","",1980-01-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1BY,Yes,55.907011,-4.323301,254862,670651,NS548706,"Bearsden South","",1980-01-01,,45,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1BZ,Yes,55.906849,-4.319019,255129,670624,NS551706,"Bearsden South","",1980-01-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DA,Yes,55.907478,-4.321408,254982,670699,NS549706,"Bearsden South","",1980-01-01,,43,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DB,Yes,55.907666,-4.32334,254862,670724,NS548707,"Bearsden South","",1980-01-01,,46,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DD,Yes,55.907397,-4.324909,254763,670697,NS547706,"Bearsden South","",1980-01-01,,48,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DE,Yes,55.908315,-4.323251,254870,670796,NS548707,"Bearsden South","",1980-01-01,,46,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DF,Yes,55.908428,-4.321081,255006,670804,NS550708,"Bearsden South","",1980-01-01,,42,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DG,Yes,55.908938,-4.320264,255059,670859,NS550708,"Bearsden South","",1980-01-01,,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DH,Yes,55.907776,-4.31941,255108,670728,NS551707,"Bearsden South","",1980-01-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DJ,Yes,55.907243,-4.31765,255216,670665,NS552706,"Bearsden South","",1980-01-01,,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DL,Yes,55.907926,-4.317179,255248,670740,NS552707,"Bearsden South","",1980-01-01,,37,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DN,Yes,55.908465,-4.319131,255128,670804,NS551708,"Bearsden South","",1980-01-01,,38,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
G61 1DP,No,55.9078,-4.3381,253940,670770,NS539707,"Bearsden South","",1985-07-01,1992-07-01,34,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008071,"Westerton East - 01"
G61 1DQ,Yes,55.908959,-4.321993,254951,670865,NS549708,"Bearsden South","",1980-01-01,,43,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008075,"Westerton East - 05"
