Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
G43 1JT,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1996-06-01,2006-04-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1UT,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1996-06-01,2006-04-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1WA,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2001-12-01,2003-10-01,39,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1YB,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1997-12-01,1998-06-01,39,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1YH,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2000-12-01,2005-09-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1YN,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-06-01,2003-03-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1YQ,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-06-01,2005-07-01,39,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1YR,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-06-01,2003-11-01,39,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01008409,"North Giffnock and North Thornliebank - 04"
G43 1YS,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-12-01,2006-04-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2NW,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1994-10-01,2006-04-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2RH,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1992-07-01,2013-02-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2WB,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2003-09-01,2013-02-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2WD,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1997-12-01,2004-01-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2WG,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1998-05-01,1998-07-01,39,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2WH,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1998-12-01,1999-12-01,39,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2WQ,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",1999-12-01,2003-06-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2WR,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2001-12-01,2002-01-01,39,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2WW,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2008-09-01,2009-11-01,39,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2XB,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2003-08-01,2006-02-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2XJ,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-01-01,2002-03-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2XT,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-09-01,2010-10-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2ZA,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-06-01,2013-02-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2ZB,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2002-09-01,2006-10-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2ZD,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2003-07-01,2013-02-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G43 2ZF,No,55.809758,-4.299769,255973,659781,NS559597,"Giffnock and Thornliebank","",2004-03-01,2013-02-01,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008409,"North Giffnock and North Thornliebank - 04"
G44 3EN,Yes,55.800701,-4.27696,257369,658726,NS573587,"Clarkston, Netherlee and Williamwood","",1980-10-01,,59,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
G44 3HA,Yes,55.808906,-4.276261,257443,659638,NS574596,"Giffnock and Thornliebank","",2002-06-01,,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3HE,Yes,55.809935,-4.279638,257235,659759,NS572597,"Giffnock and Thornliebank","",1989-07-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008401,"Merrylee and Braidbar - 07"
G44 3HF,Yes,55.80935,-4.279189,257261,659693,NS572596,"Giffnock and Thornliebank","",1989-04-01,,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3HH,No,55.809419,-4.27889,257280,659700,NS572597,"Giffnock and Thornliebank","",1980-01-01,1995-12-01,39,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008393,"Netherlee - 05"
G44 3JW,Yes,55.810581,-4.266605,258054,659804,NS580598,"Clarkston, Netherlee and Williamwood","",2009-04-01,,43,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3LA,Yes,55.800315,-4.274481,257523,658678,NS575586,"Clarkston, Netherlee and Williamwood","",1980-10-01,,64,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
G44 3LD,Yes,55.799854,-4.278538,257267,658635,NS572586,"Clarkston, Netherlee and Williamwood","",1987-06-01,,62,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
G44 3LX,No,55.804722,-4.273365,257609,659166,NS576591,"Clarkston, Netherlee and Williamwood","",1985-01-01,1997-06-01,53,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008394,"Netherlee - 06"
G44 3LY,Yes,55.79983,-4.275952,257429,658627,NS574586,"Clarkston, Netherlee and Williamwood","",1980-10-01,,67,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
G44 3LZ,Yes,55.800957,-4.274773,257507,658750,NS575587,"Clarkston, Netherlee and Williamwood","",1987-06-01,,59,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
G44 3NA,No,55.798509,-4.271073,257730,658470,NS577584,"Clarkston, Netherlee and Williamwood","",1987-03-01,1992-07-01,58,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008390,"Netherlee - 02"
G44 3NB,No,55.801164,-4.273302,257600,658770,NS575587,"Clarkston, Netherlee and Williamwood","",1998-01-01,1998-07-01,58,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008389,"Netherlee - 01"
G44 3PG,Yes,55.803113,-4.266091,258059,658972,NS580589,"Clarkston, Netherlee and Williamwood","",1989-04-01,,47,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008391,"Netherlee - 03"
G44 3PH,Yes,55.80321,-4.26715,257993,658985,NS579589,"Clarkston, Netherlee and Williamwood","",1987-03-01,,50,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008391,"Netherlee - 03"
G44 3PJ,No,55.807085,-4.270008,257828,659422,NS578594,"Clarkston, Netherlee and Williamwood","",1986-12-01,2001-02-01,53,Scotland,2021-11-12,"Postcode sector mean (mainly PO Boxes)",S01008392,"Netherlee - 04"
G44 3PL,Yes,55.802794,-4.268274,257921,658941,NS579589,"Clarkston, Netherlee and Williamwood","",1986-09-01,,53,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008391,"Netherlee - 03"
G44 3PN,Yes,55.808762,-4.27167,257730,659612,NS577596,"Clarkston, Netherlee and Williamwood","",1980-01-01,,43,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3PP,Yes,55.808354,-4.270896,257777,659565,NS577595,"Clarkston, Netherlee and Williamwood","",2002-12-01,,45,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3PR,Yes,55.807693,-4.271624,257729,659493,NS577594,"Clarkston, Netherlee and Williamwood","",2002-12-01,,46,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3PS,Yes,55.807996,-4.270779,257783,659525,NS577595,"Clarkston, Netherlee and Williamwood","",1980-01-01,,45,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3PT,Yes,55.80728,-4.269174,257881,659442,NS578594,"Clarkston, Netherlee and Williamwood","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3PU,Yes,55.807024,-4.269382,257867,659414,NS578594,"Clarkston, Netherlee and Williamwood","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3PW,No,55.808654,-4.271664,257730,659600,NS577596,"Clarkston, Netherlee and Williamwood","",1980-01-01,1997-06-01,43,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008392,"Netherlee - 04"
G44 3PX,Yes,55.806586,-4.269756,257842,659366,NS578593,"Clarkston, Netherlee and Williamwood","",1980-01-01,,55,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3PY,Yes,55.806088,-4.269982,257826,659311,NS578593,"Clarkston, Netherlee and Williamwood","",1980-01-01,,55,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3QA,Yes,55.806337,-4.268161,257941,659335,NS579593,"Clarkston, Netherlee and Williamwood","",1980-01-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3QB,Yes,55.805062,-4.269061,257880,659195,NS578591,"Clarkston, Netherlee and Williamwood","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3QD,Yes,55.805454,-4.270216,257809,659241,NS578592,"Clarkston, Netherlee and Williamwood","",1980-01-01,,55,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3QE,Yes,55.806063,-4.271784,257713,659312,NS577593,"Clarkston, Netherlee and Williamwood","",1980-01-01,,51,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3QF,Yes,55.80764,-4.272309,257686,659489,NS576594,"Clarkston, Netherlee and Williamwood","",2002-12-01,,44,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QG,No,55.808416,-4.2724,257683,659575,NS576595,"Clarkston, Netherlee and Williamwood","",1980-01-01,2016-10-01,41,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QN,Yes,55.80871,-4.274476,257554,659612,NS575596,"Clarkston, Netherlee and Williamwood","",2002-12-01,,38,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QR,Yes,55.808825,-4.27311,257640,659622,NS576596,"Clarkston, Netherlee and Williamwood","",1980-01-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QS,Yes,55.808523,-4.273411,257620,659589,NS576595,"Clarkston, Netherlee and Williamwood","",1980-01-01,,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QT,Yes,55.807835,-4.273196,257631,659512,NS576595,"Clarkston, Netherlee and Williamwood","",1980-01-01,,42,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QU,Yes,55.807145,-4.273092,257635,659435,NS576594,"Clarkston, Netherlee and Williamwood","",1980-01-01,,44,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QW,No,55.807107,-4.269754,257844,659424,NS578594,"Clarkston, Netherlee and Williamwood","",1996-06-01,1997-12-01,53,Scotland,2021-11-12,"Postcode sector mean (mainly PO Boxes)",S01008392,"Netherlee - 04"
G44 3QX,Yes,55.80715,-4.273762,257593,659437,NS575594,"Clarkston, Netherlee and Williamwood","",1980-01-01,,43,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3QY,Yes,55.805988,-4.272434,257672,659305,NS576593,"Clarkston, Netherlee and Williamwood","",1980-01-01,,49,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3QZ,Yes,55.805869,-4.273049,257633,659293,NS576592,"Clarkston, Netherlee and Williamwood","",1980-01-01,,47,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3RA,Yes,55.805022,-4.272907,257639,659198,NS576591,"Clarkston, Netherlee and Williamwood","",1980-01-01,,52,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RB,Yes,55.804097,-4.274111,257560,659098,NS575590,"Clarkston, Netherlee and Williamwood","",1980-01-01,,53,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3RD,Yes,55.803168,-4.273291,257608,658993,NS576589,"Clarkston, Netherlee and Williamwood","",1980-01-01,,57,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3RE,Yes,55.80386,-4.274767,257518,659073,NS575590,"Clarkston, Netherlee and Williamwood","",1980-01-01,,49,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RF,Yes,55.805041,-4.275538,257474,659206,NS574592,"Clarkston, Netherlee and Williamwood","",1980-01-01,,43,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RG,Yes,55.804867,-4.274762,257522,659185,NS575591,"Clarkston, Netherlee and Williamwood","",1980-01-01,,47,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RH,Yes,55.806331,-4.274321,257555,659347,NS575593,"Clarkston, Netherlee and Williamwood","",1980-01-01,,43,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RJ,Yes,55.806755,-4.275223,257500,659396,NS575593,"Clarkston, Netherlee and Williamwood","",1980-01-01,,41,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RL,Yes,55.807216,-4.27458,257542,659446,NS575594,"Clarkston, Netherlee and Williamwood","",1980-01-01,,41,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RN,No,55.803921,-4.274898,257510,659080,NS575590,"Clarkston, Netherlee and Williamwood","",1994-02-01,1995-12-01,48,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008393,"Netherlee - 05"
G44 3RQ,Yes,55.805729,-4.273839,257583,659279,NS575592,"Clarkston, Netherlee and Williamwood","",1980-01-01,,46,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008393,"Netherlee - 05"
G44 3RT,Yes,55.804409,-4.270363,257796,659125,NS577591,"Clarkston, Netherlee and Williamwood","",1980-01-01,,58,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3RU,No,55.804359,-4.270615,257780,659120,NS577591,"Clarkston, Netherlee and Williamwood","",1973-08-01,1977-09-01,59,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008392,"Netherlee - 04"
G44 3RX,No,55.804362,-4.270456,257790,659120,NS577591,"Clarkston, Netherlee and Williamwood","",1992-07-01,1994-12-01,59,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008392,"Netherlee - 04"
G44 3RY,No,55.804362,-4.270456,257790,659120,NS577591,"Clarkston, Netherlee and Williamwood","",1980-01-01,1996-06-01,59,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008392,"Netherlee - 04"
G44 3RZ,Yes,55.802578,-4.269762,257827,658920,NS578589,"Clarkston, Netherlee and Williamwood","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008391,"Netherlee - 03"
G44 3SA,No,55.801912,-4.270297,257791,658847,NS577588,"Clarkston, Netherlee and Williamwood","",1973-08-01,1992-07-01,54,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008391,"Netherlee - 03"
G44 3SE,Yes,55.801865,-4.270374,257786,658842,NS577588,"Clarkston, Netherlee and Williamwood","",1980-01-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008391,"Netherlee - 03"
G44 3SF,Yes,55.801885,-4.269307,257853,658842,NS578588,"Clarkston, Netherlee and Williamwood","",1980-01-01,,52,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008391,"Netherlee - 03"
G44 3SG,No,55.801576,-4.270453,257780,658810,NS577588,"Clarkston, Netherlee and Williamwood","",1973-08-01,1977-09-01,53,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008391,"Netherlee - 03"
G44 3SH,No,55.801834,-4.271107,257740,658840,NS577588,"Clarkston, Netherlee and Williamwood","",1973-08-01,1994-12-01,55,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008394,"Netherlee - 06"
G44 3SJ,Yes,55.802911,-4.270707,257769,658959,NS577589,"Clarkston, Netherlee and Williamwood","",1980-01-01,,59,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3SL,Yes,55.804204,-4.271707,257711,659105,NS577591,"Clarkston, Netherlee and Williamwood","",1980-01-01,,61,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3SN,Yes,55.804222,-4.270961,257758,659105,NS577591,"Clarkston, Netherlee and Williamwood","",1980-01-01,,60,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008392,"Netherlee - 04"
G44 3SP,Yes,55.803349,-4.27228,257672,659011,NS576590,"Clarkston, Netherlee and Williamwood","",1980-01-01,,61,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3SQ,Yes,55.802043,-4.270959,257750,658863,NS577588,"Clarkston, Netherlee and Williamwood","",1980-01-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3SR,Yes,55.802817,-4.271882,257695,658951,NS576589,"Clarkston, Netherlee and Williamwood","",1980-01-01,,60,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3SS,No,55.807085,-4.270008,257828,659422,NS578594,"Clarkston, Netherlee and Williamwood","",1994-02-01,2001-02-01,53,Scotland,2021-11-12,"Postcode sector mean (mainly PO Boxes)",S01008392,"Netherlee - 04"
G44 3SW,Yes,55.804113,-4.273218,257616,659098,NS576590,"Clarkston, Netherlee and Williamwood","",1980-01-01,,58,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3TA,Yes,55.801545,-4.273579,257584,658813,NS575588,"Clarkston, Netherlee and Williamwood","",1980-01-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
G44 3TB,Yes,55.800865,-4.272965,257620,658736,NS576587,"Clarkston, Netherlee and Williamwood","",1980-01-01,,58,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
G44 3TD,Yes,55.802097,-4.272414,257659,658872,NS576588,"Clarkston, Netherlee and Williamwood","",1980-01-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3TE,Yes,55.802385,-4.273867,257569,658907,NS575589,"Clarkston, Netherlee and Williamwood","",1980-01-01,,53,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3TF,Yes,55.803297,-4.274607,257526,659010,NS575590,"Clarkston, Netherlee and Williamwood","",1980-01-01,,50,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008394,"Netherlee - 06"
G44 3TG,Yes,55.802568,-4.275123,257491,658930,NS574589,"Clarkston, Netherlee and Williamwood","",1980-01-01,,48,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008389,"Netherlee - 01"
