Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
PA11 3FD,Yes,55.867731,-4.62488,235848,666955,NS358669,"Inverclyde East","",2011-07-01,,70,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3JX,Yes,55.867099,-4.614879,236471,666861,NS364668,"Inverclyde East","",2005-08-01,,61,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3NH,Yes,55.863349,-4.613269,236556,666440,NS365664,"Inverclyde East","",2003-06-01,,68,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3NJ,Yes,55.864099,-4.611801,236651,666520,NS366665,"Inverclyde East","",2005-01-01,,71,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3NL,Yes,55.86885,-4.61578,236422,667058,NS364670,"Inverclyde East","",2001-06-01,,54,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3NQ,Yes,55.868573,-4.616113,236400,667028,NS364670,"Inverclyde East","",2001-06-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3NS,Yes,55.862732,-4.613547,236536,666372,NS365663,"Inverclyde East","",2003-06-01,,64,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3NX,Yes,55.866139,-4.615646,236419,666756,NS364667,"Inverclyde East","",2000-12-01,,61,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3PY,No,55.865738,-4.619121,236200,666720,NS361667,"Inverclyde East","",1994-02-01,1996-06-01,60,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
PA11 3QT,Yes,55.865507,-4.619552,236172,666695,NS361666,"Inverclyde East","",1987-04-01,,59,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central - 04"
