Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
G51 4BF,No,55.877085,-4.367477,251987,667415,NS519674,"Renfrew North and Braehead","",1999-12-01,2017-08-01,8,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G51 4BL,No,55.872698,-4.367545,251966,666927,NS519669,"Renfrew North and Braehead","",2008-10-01,2009-03-01,8,Scotland,2021-11-12,"Within the building of the matched address by visual inspection of Landline maps",S01012182,"Renfrew North - 01"
G51 4BN,Yes,55.876281,-4.363479,252234,667317,NS522673,"Renfrew North and Braehead","",2009-02-01,,9,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G51 4BP,Yes,55.876028,-4.365112,252131,667292,NS521672,"Renfrew North and Braehead","",1999-12-01,,16,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G51 4BS,Yes,55.876028,-4.365112,252131,667292,NS521672,"Renfrew North and Braehead","",1999-12-01,,14,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G51 4BT,Yes,55.874244,-4.359103,252500,667081,NS524670,"Renfrew North and Braehead","",2000-06-01,,8,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G51 4BW,No,55.880296,-4.374819,251540,667788,NS515677,"Renfrew North and Braehead","",2004-11-01,2005-04-01,5,Scotland,2021-11-12,"Within the building of the matched address by visual inspection of Landline maps",S01012182,"Renfrew North - 01"
G51 4FB,Yes,55.868017,-4.358102,252539,666386,NS525663,"Renfrew North and Braehead","",2002-06-01,,8,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G51 4SA,Yes,55.870536,-4.362634,252265,666676,NS522666,"Renfrew North and Braehead","",1980-01-01,,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G51 4SR,No,55.870131,-4.36221,252290,666630,NS522666,"Renfrew North and Braehead","",1980-01-01,1995-12-01,13,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01012182,"Renfrew North - 01"
G51 4ST,No,55.870131,-4.36221,252290,666630,NS522666,"Renfrew North and Braehead","",1980-01-01,1995-12-01,13,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01012182,"Renfrew North - 01"
G51 4SY,Yes,55.86581,-4.357392,252575,666139,NS525661,"Renfrew North and Braehead","",2008-01-01,,8,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 1EL,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",1992-07-01,2011-10-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 1LP,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",1994-02-01,2006-02-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 1WA,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",1999-06-01,2008-09-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 1WG,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2000-12-01,2008-09-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 1WH,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2001-06-01,2008-09-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 1YG,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2004-05-01,2009-05-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 2WD,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2000-06-01,2006-04-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 2WE,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2000-06-01,2008-09-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 2WF,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2000-12-01,2008-09-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 2WH,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2001-12-01,2008-09-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 2YB,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",1997-12-01,2008-09-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 2YE,Yes,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2002-07-01,,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 3WB,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2001-12-01,2015-11-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 3YG,No,55.856757,-4.373894,251508,665167,NS515651,"Renfrew South and Gallowhill","",2004-02-01,2007-04-01,12,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4BH,Yes,55.857007,-4.365584,252029,665177,NS520651,"Renfrew South and Gallowhill","",1980-01-01,,14,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4BJ,Yes,55.855853,-4.365979,252000,665049,NS519650,"Renfrew South and Gallowhill","",1980-01-01,,16,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4BL,Yes,55.858626,-4.362919,252202,665351,NS522653,"Renfrew South and Gallowhill","",2002-12-01,,13,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4BQ,Yes,55.856105,-4.369476,251782,665085,NS517650,"Renfrew South and Gallowhill","",1980-01-01,,15,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4BW,Yes,55.860504,-4.368979,251830,665573,NS518655,"Renfrew South and Gallowhill","",1983-12-01,,11,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4DR,Yes,55.862964,-4.366331,252005,665841,NS520658,"Renfrew South and Gallowhill","",1983-02-01,,10,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4DS,Yes,55.8569,-4.378601,251214,665193,NS512651,"Renfrew South and Gallowhill","",1984-06-01,,15,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4DZ,Yes,55.862379,-4.370116,251766,665784,NS517657,"Renfrew South and Gallowhill","",1992-10-01,,10,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4FA,Yes,55.866115,-4.3698,251800,666199,NS517661,"Renfrew South and Gallowhill","",2017-03-01,,7,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4FG,No,55.860674,-4.367469,251925,665589,NS519655,"Renfrew South and Gallowhill","",2007-07-01,2016-09-01,11,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4FH,Yes,55.86392,-4.363655,252176,665942,NS521659,"Renfrew South and Gallowhill","",2016-03-01,,10,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4FJ,Yes,55.863914,-4.36364,252177,665941,NS521659,"Renfrew South and Gallowhill","",2020-09-01,,9,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01012182,"Renfrew North - 01"
G52 4GA,Yes,55.861863,-4.367333,251938,665721,NS519657,"Renfrew South and Gallowhill","",2008-08-01,,11,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
G52 4GE,No,55.856106,-4.367304,251918,665080,NS519650,"Renfrew South and Gallowhill","",2013-03-01,2018-05-01,17,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01012182,"Renfrew North - 01"
