Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
G13 4HT,Yes,55.89381,-4.383084,251075,669309,NS510693,"Clydebank Waterfront","",1980-01-01,,6,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013125,"IZ01 - 04"
G13 4HY,Yes,55.894877,-4.382125,251139,669426,NS511694,"Clydebank Waterfront","",1980-01-01,,6,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013125,"IZ01 - 04"
G14 0PH,Yes,55.89033,-4.386244,250864,668929,NS508689,"Clydebank Waterfront","",1996-12-01,,8,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013122,"IZ01 - 01"
G15 8AE,No,55.911225,-4.38956,250737,671261,NS507712,"Kilpatrick","",1980-01-01,2001-08-01,42,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013147,"IZ05 - 01"
G60 5AA,Yes,55.932067,-4.485819,244805,673792,NS448737,"Dumbarton","",1980-01-01,,30,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013178,"IZ10 - 01"
G60 5AB,Yes,55.932774,-4.492173,244411,673885,NS444738,"Dumbarton","",1980-01-01,,44,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013179,"IZ10 - 02"
G60 5AD,Yes,55.932108,-4.47756,245321,673778,NS453737,"Dumbarton","",1980-01-01,,38,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013179,"IZ10 - 02"
G60 5AE,No,55.930628,-4.480524,245130,673620,NS451736,"Dumbarton","",1980-01-01,1996-12-01,13,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01013178,"IZ10 - 01"
G60 5AF,Yes,55.930364,-4.480699,245118,673591,NS451735,"Dumbarton","",1980-01-01,,9,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013178,"IZ10 - 01"
G60 5AG,Yes,55.930778,-4.481639,245061,673639,NS450736,"Dumbarton","",1980-01-01,,13,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01013178,"IZ10 - 01"
